BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,PAY_MTD_CDE,PAY_AMT,IS_MEMBER,LC_OCT_ID
A002,11111,2014/7/7,2,OC,41,Y,55478
A002,11111,2014/7/7,1,VH,3,Y,55478
A002,7155,2014/7/30,1,OC,42,Y,55478
A002,12847,2014/7/2,1,OC,32.5,Y,55478
A002,5199,2014/7/28,2,OC,27,Y,55478
A002,5199,2014/7/28,1,VH,10,Y,55478
A002,4303,2014/7/27,2,OC,34,Y,55478
A002,4303,2014/7/27,1,VH,3,Y,55478
A002,4302,2014/7/27,2,OC,46,Y,55478
A002,4302,2014/7/27,1,VH,3,Y,55478
A002,1284,2014/7/25,1,OC,29.5,Y,55478
A002,434,2014/7/24,2,OC,30,Y,55478
A002,434,2014/7/24,1,VH,5,Y,55478
A002,10319,2014/7/23,2,OC,19.5,Y,55478
A002,10319,2014/7/23,1,VH,10,Y,55478
A002,17593,2014/7/21,2,OC,49,Y,55478
A002,17593,2014/7/21,1,VH,3,Y,55478
A002,17592,2014/7/21,2,OC,50,Y,55478
A002,17592,2014/7/21,1,VH,3,Y,55478
A002,12708,2014/7/17,2,OC,35,Y,55478
A002,12708,2014/7/17,1,VH,5,Y,55478
A002,323,2014/7/16,1,OC,29,Y,55478
A002,5447,2014/7/13,2,OC,24.5,Y,55478
A002,5447,2014/7/13,1,VH,5,Y,55478
A002,12615,2014/7/9,2,OC,24.5,Y,55478
A002,12615,2014/7/9,1,VH,5,Y,55478
A002,190,2014/7/8,2,OC,22.5,Y,55478
A002,190,2014/7/8,1,VH,10,Y,55478
A002,11112,2014/7/7,2,OC,45,Y,55478
A002,11112,2014/7/7,1,VH,3,Y,55478
A002,12847,2014/7/2,1,OC,32.5,Y,55478
A002,5649,2014/7/5,1,OC,20,Y,55478
A002,12847,2014/7/2,1,OC,32.5,Y,55478
A002,1768,2014/7/1,1,OC,35,Y,55478
A002,1767,2014/7/1,1,OC,32,Y,55478
A002,3212,2014/7/2,1,OC,47,N,55534
A002,3212,2014/7/2,1,OC,47,N,55534
A002,950,2014/7/8,1,OC,30.5,N,55534
A002,2009,2014/7/9,1,OC,40,N,55534
A002,14379,2014/7/10,1,OC,37,N,55534
A002,3212,2014/7/2,1,OC,47,N,55534
A002,8729,2014/7/7,1,OC,37,N,55534
A002,1773,2014/7/9,1,OC,24,N,55534
A002,5024,2014/7/12,1,OC,45,N,55534
A002,14826,2014/7/19,1,OC,34,N,55534
A002,10369,2014/7/31,1,OC,21.5,N,55534
A001,2063,2014/7/1,1,VH,5,Y,55542
A001,2063,2014/7/1,2,OC,19.5,Y,55542
A001,5104,2014/7/21,1,VH,5,Y,55542
A001,5104,2014/7/21,2,OC,20.5,Y,55542
A001,5105,2014/7/21,1,OC,22,Y,55542
A001,2062,2014/7/1,1,VH,5,Y,55542
A001,2062,2014/7/1,2,OC,20.5,Y,55542
A001,2063,2014/7/1,1,VH,5,Y,55542
A001,2063,2014/7/1,2,OC,19.5,Y,55542
A001,5104,2014/7/21,1,VH,5,Y,55542
A001,5104,2014/7/21,2,OC,20.5,Y,55542
A001,5105,2014/7/21,1,OC,22,Y,55542
A001,2062,2014/7/1,1,VH,5,Y,55542
A001,2062,2014/7/1,2,OC,20.5,Y,55542
A003,6774,2014/7/1,1,OC,20,Y,55556
A003,8012,2014/7/2,1,OC,20,Y,55556
A003,16266,2014/7/3,1,OC,20,Y,55556
A003,17358,2014/7/4,1,OC,20,Y,55556
A003,2637,2014/7/5,1,VH,5,Y,55556
A003,2637,2014/7/5,2,OC,18,Y,55556
A003,11362,2014/7/6,1,CA,100,Y,55556
A003,11363,2014/7/6,1,OC,20,Y,55556
A003,12671,2014/7/7,1,OC,20,Y,55556
A003,6029,2014/7/8,1,OC,20,Y,55556
A003,7187,2014/7/9,1,OC,20,Y,55556
A003,17345,2014/7/11,1,OC,20,Y,55556
A003,1445,2014/7/12,1,OC,20,Y,55556
A003,3575,2014/7/13,1,VH,3,Y,55556
A003,3575,2014/7/13,2,OC,42,Y,55556
A003,3842,2014/7/14,1,VH,10,Y,55556
A003,3842,2014/7/14,2,OC,10,Y,55556
A003,4970,2014/7/15,1,OC,20,Y,55556
A003,14659,2014/7/16,1,OC,20,Y,55556
A003,18029,2014/7/19,1,OC,20,Y,55556
A003,10169,2014/7/20,1,OC,20,Y,55556
A003,2257,2014/7/20,1,VH,10,Y,55556
A003,2257,2014/7/20,2,OC,26,Y,55556
A003,11383,2014/7/21,1,OC,20,Y,55556
